Qty,Part Name,Price (CAD),Shipping,Link
1,3.7V Li-ion Battery 1100mAh,$18.79,--,https://www.amazon.ca/dp/B08FD39Y5R?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
2,Push Button,$3.42,--,https://www.aliexpress.com/item/1005002487399422.html?algo_pvid=e6a9514c-349c-4fac-a04c-04534ab9f11d&algo_exp_id=e6a9514c-349c-4fac-a04c-04534ab9f11d-13&pdp_ext_f=%7B%22order%22%3A%224583%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.42%213.35%21%21%212.44%212.39%21%402101f54117766331450775415eb10a%2112000020837840557%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=LvFZBIjikn2H&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002487399422%7C_p_origin_prod%3A
2,XIAO Esp-32 C3,$25.56,--,https://www.aliexpress.com/item/1005004723068527.html?spm=a2g0o.productlist.main.20.602e1671xWeY2f&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005004723068527%7C_p_origin_prod%3A&algo_pvid=54ddf991-bed0-444a-a933-d69864d8e3c4&algo_exp_id=54ddf991-bed0-444a-a933-d69864d8e3c4&pdp_ext_f=%7B%22order%22%3A%221285%22%2C%22spu_best_type%22%3A%22price%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%216.35%215.14%21%21%214.53%213.67%21%402103212317767217588455188e49ad%2112000047077181043%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895#nav-specification
1,Backpack straps,$18.99,--,https://www.amazon.ca/dp/B0FKGX4SWJ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
,3D Print Models - Printing Legion,,$5.00,
1,OrcaClaw Arm PCB (JLCPCB),$9.40,$1.02,
1,OrcaClaw Controller PCB (JLCPCB),$5.58,$1.02,
1,Tax,25.92,,
,COST:,$225.01,$38.76,
,TOTAL COST:,$263.77,(´。＿。｀),
